Annee;Mois;Categorie;Montant
2025;avr;Impôts et taxes;2472641.241179938
2025;mai;Impôts et taxes;3183445.5668929787
2025;juin;Impôts et taxes;6295184.762473798
2025;juill;Impôts et taxes;10353216.493209196
2025;aout;Impôts et taxes;5791008.249224629
2025;sep;Impôts et taxes;3126366.5668057306
2025;oct;Impôts et taxes;13799569.069568532
2025;nov;Impôts et taxes;4182491.7692206237
2025;dec;Impôts et taxes;129462463.38818128
2025;janv;Transports et déplacements;5183457.337261432
2025;fev;Transports et déplacements;4423775.756376688
2025;mar;Transports et déplacements;831878.1389174442
2025;avr;Transports et déplacements;842527.7283473585
2025;mai;Transports et déplacements;2559390.919253216
2025;juin;Transports et déplacements;1566002.9799135963
2025;juill;Transports et déplacements;2529817.7411154076
2025;aout;Transports et déplacements;3982908.5344012086
2025;sep;Transports et déplacements;1790244.8901474555
2025;oct;Transports et déplacements;2122411.2334121023
2025;nov;Transports et déplacements;485809.3234422257
2025;dec;Transports et déplacements;681775.4174118674
2025;janv;Travaux, fournitures et services extérieurs;45905721.55284204
2025;fev;Travaux, fournitures et services extérieurs;89600749.34612513
2025;mar;Travaux, fournitures et services extérieurs;49724721.2037265
2025;avr;Travaux, fournitures et services extérieurs;62569283.90105003
2025;mai;Travaux, fournitures et services extérieurs;29451693.80120919
2025;juin;Travaux, fournitures et services extérieurs;36069814.29438747
2025;juill;Travaux, fournitures et services extérieurs;58406469.85294298
2025;aout;Travaux, fournitures et services extérieurs;68132259.91497098
2025;sep;Travaux, fournitures et services extérieurs;15084313.600011239
2025;oct;Travaux, fournitures et services extérieurs;42976622.152849615
2025;nov;Travaux, fournitures et services extérieurs;79537083.65111084
2025;dec;Travaux, fournitures et services extérieurs;45133866.728774056
